,A1,A2,A3,A4,A5
S101,0.12287276906324995,0.7224374875118533,0.9529724460642219,0.10306488400662495,0.18483443740136174
S102,0.4904904815770378,0.7051316783534718,0.26389301826980405,0.2428111291199595,0.30695301022027266
S103,0.6821146575340951,0.036501597106312844,0.4086445135000686,0.25846029944709903,0.3310369575887172
S104,0.5661337998664325,0.5122918459241415,0.28421357310877704,0.13859513584505412,0.29475375184896335
S105,0.47695652903110985,0.22900282548066908,0.5593120559159577,0.4471310288753979,0.45177809038022
S106,0.9245046877719362,0.10140426328951302,0.6252826189733715,0.0349817726905165,0.870737893223772
S107,0.2913945075195996,0.9478387053639702,0.8512700380215003,0.04173634420275896,0.09891015201103182
S108,0.8799941108635144,0.5860994954794874,0.8638246301051198,0.8610963882523622,0.10441304462051704
S109,0.865776125499721,0.03939440192188515,0.26526288056473757,0.6393078242750101,0.1747601627698665
S110,0.8227958043360505,0.3948516090367389,0.34298417691145155,0.6649228908600713,0.5011604944535755
